"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"die Aufwiegelung (Pl.: die Aufwiegelungen)","sedition [Aufwiegelung zum Rassenhass--incitement of racial hatred] [z.B. Context: The following is about a prominent Shiite cleric Nimr al-Nimr in Saudi Arabia: 'Während des Arabischen Frühlings 2011 wirkte er als einer der Anführer der Schiiten-Proteste im Osten des Königreichs, er befürwortete die Abspaltung der östlichen Regionen Katif und Al-Ihsaa, in denen die meisten der rund zwei Millionen Schiiten Saudi-Arabiens leben. Nimrs Festnahme im Juli 2012 hatte Proteste der Schiiten ausgelöst, bei denen zwei seiner Anhänger getötet worden waren.     Im Oktober 2014 wurde Nimr wegen Aufwiegelung, Ungehorsams und Waffenbesitzes von einem Sondertribunal zum Tode verurteilt. Ende Oktober 2015 wurde das Todesurteil vom Obersten Gerichtshof Saudi-Arabiens bestätigt.'] (подстрекательство к мятежу; мятеж; восстание)"
"die Wirren (pl) (kein Singular)	","confusion; turmoil [Wirren {pl} des Krieges--turmoil {sg} of war]"
"die Chance (Pl.: die Chancen)	","opportunity [große Chance--great opportunity]; chance [verpasste Chance--missed chance] [z.B. 'Doch die Chancen, dass seine Strategie am Ende substanzielle Erfolge zeitigt, stehen nicht sonderlich gut.']"
"die Straffung (Pl.: Straffungen)	","tightening [z.B. 'Grund für die neue Dollar-Power: Die US-Notenbank ist auf Straffungskurs, während andere Notenbanken wie die Europäische Zentralbank und die Bank of Japan (deren Gouverneure am Freitag tagen) ihre Geldpolitik immer weiter lockern.']"
"das Tor (Pl.: die Tore)	","gate [Himmelstor, Höllentor; bei Skilaufen] [er pochte gegen das Tor--he hammered on the gate; das Tor öffnen/schließen--open/shut the gate]; goal [sports] [ein Tor erzielen--score a goal [sports]]"
"der Zügel (Pl.: die Zügel)	","rein [einem Pferd in die Zügel fallen--seize a horse by the reins] (узда)"
"das Treffen (Pl.: die Treffen)	","meeting [informelles Treffen--informal meeting; ein Treffen veranstalten--arrange a meeting]"
"die Medien {pl} (kein Singular)	","media [in communication and advertising] [inländische Medien--domestic media] (СМИ)"
"die Geldpolitik (kein Plural)	","monetary policy [econ.] [die Geldpolitik festlegen--establish the monetary policy [pol.; fin.]; straffe Geldpolitik--tight monetary policy]"
"die Ungleichheit (Pl.: die Ungleichheiten)","inequality [soziale Ungleichheit--social inequality [sociol.; econ.]]"
"die Falle (Pl.: die Fallen)	","trap [jdm. eine Falle stellen--set a trap for sb. [fig.]] [z.B. 'Griechenland präsentiert eine Lösung im Schuldenstreit, die Bundesregierung wittert eine Falle. Beide Seiten verfolgen ihre ganz eigenen Strategien, nun geht es in die entscheidende Runde.']"
"die Raststätte (Pl.: die Raststätten)	","motorway restaurant; (motorway) service area"
"die Abschwächung (Pl.: die Abschwächungen)","decrease [von Inflation, Lärm]; slowdown [ind.; econ.] [Verlangsamung] [wirtschaftliche Abschwächung--economic slowdown [econ.]]"
"die Erschließung (Pl.: die Erschließungen)","development [RealEst.] [touristische Erschließung--development of tourism [geogr.]; Gebiet zurückgestellter Erschließung--area designated for future development]; analysis [eines Textes, einer hist. Quelle]"
"der Diebstahl (Pl.: die Diebstähle)	","theft [Diebstahl begehen--commit a theft; Auf Diebstahl steht eine Freiheitsstrafe.--Theft is punishable by imprisonment. [law]]"
"die Annahme (Pl.: die Annahmen)	","acceptance [Annehmen, Entgegennehmen] [Annahme einer Schenkung--acceptance of a gift] [z.B. 'Auf dem Syntagma-Platz in Athen haben sich am Dienstagabend trotz Regens Tausende versammelt. Sie setzen sich für ein Ja beim Referendum am Sonntag ein. Damit stellen sie sich gegen Premier Alexis Tsipras und bekennen sich zu einer Annahme der Euro-Sparauflagen.']; assumption [Vermutung, Voraussetzung] [falsche Annahme--wrong assumption]"
"die Entsendung (Pl.: die Entsendungen)	","sending [das Wegschicken] [Sie sagten die Entsendung von rund 7000 Soldaten zur Unterstützung der UNIFIL-Mission zu.--They are committed to sending approximately 7000 peacekeeping troops to support the UNIFIL operation.]; delegation [pol.] [eines Abgeordneten etc.]"
"der Lastwagen (Pl.: die Lastwagen)	","truck [transp.] [mit Sprengstoff beladener Lastwagen--truck loaded with explosives]"
"die Untersuchung (Pl.: die Untersuchungen)","investigation [polizeiliche Untersuchung--police investigation]; examination [ärztliche Untersuchung--medical examination [med.]]"
"der Gesetzentwurf (Pl.: die Gesetzentwürfe)","bill [pol.; law] [der Gesetzentwurf kam glatt durchs Parlament--the bill had a smooth passage through Parliament]"
"die Verweigerung (Pl.: die Verweigerungen)","refusal [Verweigerung des Kriegsdienstes--refusal to do (one's) military service]"
"die Gesetzgebung (Pl.: die Gesetzgebungen)","legislation [law] [die Gesetzgebung ändern--amend the legislation; die Aufgabe des Parlaments ist die Gesetzgebung--parliament's job is to legislate]"
"die Geisel (Pl.: die Geiseln)	","hostage [jdn. als Geisel nehmen--take sb. hostage; als Geisel gehalten werden--be held hostage] [z.B. 'Bei der Jagd nach den beiden mutmaßlichen Attentätern von Paris sind nordöstlich der Hauptstadt in einem Unternehmen Geiseln genommen worden.']"
"der Zivilist (Pl.: die Zivilisten)	","civilian [z.B. 'Insgesamt macht die Uno Taliban und andere Extremisten für 6858 tote und verletzte Zivilisten verantwortlich - 62 Prozent aller Opfer. 82 Fälle gehen auf das Konto der Terrormiliz 'Islamischer Staat'.']"
"die Anzahl (Pl.: die Anzahlen [nur fachspr.])","quantity; number [Anzahl der Besucher--number of visitors; Anzahl der Beschäftigten--number of employees]"
"die Schusswaffen {pl} (Sg.: die Schusswaffe)","firearms [weapons] [das innige Verhältnis der Amerikaner zu Schusswaffen--the Americans' love affair with firearms]"
"das Gewehr (Pl.: die Gewehre)	","gun [weapons] [ein Gewehr richten--aim a gun]; rifle [weapons] [automatisches Gewehr--automatic rifle [weapons]]"
"die Einflussnahme (Pl.: die Einflussnahmen)","influence [jds Einflussnahme auf etw. (A)--sb's exertion of influence on sth]"
"der Sklave (Pl.: die Sklaven)	","slave [jdn zum Sklaven machen--make a slave of sb.; der Sklave tut, was sein Herr ihn heißt or ihm befiehlt--the slave does his master's bidding]"
"die Lüge (Pl.: die Lügen)	","lie [jdn. bei einer Lüge ertappen--catch sb. lying; dreckige Lüge--dirty lie]"
"der Wirbelsturm (Pl.: die Wirbelstürme)","hurricane [meteo.] [der Wirbelsturm fegte über die Felder--the tornado swept across the fields] [z.B. 'Tropischen Wirbelstürme sind im Südpazifik und Ozeanien zwischen November und April häufig.']"
"der Stromausfall (Pl.: die Stromausfälle)","blackout [electr.] [vollständiger Stromausfall--complete blackout [electr.]] (временное отсутствие электрического освещения)"
"die Gemeinde (Pl.: die Gemeinden)	","community [Gemeindebewohner auch] [wissenschaftliche Gemeinde--scientific community [acad.]; gefährlich für die Gemeinde--dangerous to the community]; parish [Pfarrgemeinde] [relig.; pol.] [Gemeinde mit 100 Einwohnern--parish of a hundred souls] (церковный приход)"
"die Ernte (Pl.: die Ernten)	","crop [amount of produce harvested at one time] [agr.] [der Regen hat der Ernte geschadet--the crops were hit by the rain]; harvest [gute Ernte--rich harvest; die Ernte einbringen--reap the harvest [agr.] (собирать урожай)]"
"das Haus (Pl.: die Häuser)	","house [Gebäude, Astr.] [alleinstehendes Haus--house standing by itself; Weißes Haus--White House [pol.]]; home [Zuhause, Heim] [behagliches Haus--comfortable home/house; Mein Haus ist meine Burg.--My home is my castle.]"
"die Sturmbö (Pl.: die Sturmböen)	","squall [naut.; meteo] [z.B. 'In der Küstenstadt Nhulunbuy sorgten Stürmböen von bis zu 155 Stundenkilometern für Schäden an Häusern und vor allem Booten. '] (шквал)"
"die Unannehmlichkeit (Pl.: die Unannehmlichkeiten)","inconvenience [Unannehmlichkeit bereiten--cause inconvenience; Bitte entschuldigen Sie die Unannehmlichkeit.--Please pardon the inconvenience. [formelle Anrede]]"
"der Schlagstock (Pl.: die Schlagstöcke)","bat [weapons]; club [billy club] [weapons]"
"das Leck (Pl.: die Lecks)	","leak [Jetzt allerdings hat die Pipeline ein Leck.--But now, the pipeline is leaking.]"
"die Feuerwehr (kein Plural)	","fire brigade [FireResc] [die Feuerwehr rückte auf den Alarm hin aus--the fire brigade answered the alarm call]; fire service [FireResc] (пожарная служба)"
"der Weggefährte (Pl.: die Weggefährten)","companion [fig.] [Ein Wanderer ist kein Weggefährte für einen Reiter--A horseman is no companion for one who travels on foot.]"
"der Gewahrsam (kein Plural)	","custody [Haft] [jdn in Gewahrsam nehmen--take sb into custody] [z.B. 'Die Polizei nahm 23 Menschen in Gewahrsam.']"
"die Verhaftung (Pl.: die Verhaftungen)	","arrest [law] [sich der Verhaftung entziehen--avoid arrest]"
"der Aufenthaltsort (Pl.: die Aufenthaltsorte)","whereabouts [of a person] [man weiß nicht, was sein augenblicklicher Aufenthaltsort ist--his present whereabouts is or are not known]"
"der Aufenthalt (Pl.: die Aufenthalte)	","residence [Wohnsitz] [gewöhnlicher Aufenthalt--usual (place of) residence [law]; nach 5 Jahren Aufenthalt in Großbritannien--after 5 years' residence in Britain]; stay [das Sichaufhalten; Aufenthaltszeit] [Aufenthalt {m} von 3 Nächten--three-night stay; Paris-Aufenthalt--stay in Paris]"
"der Angeklagte (Pl.: die Angeklagten)	","the accused [law] [Der Angeklagte hat das letzte Wort.--The defendant has the last word.]"
"das Altenheim (Pl.: die Altenheime)	retirement home (дом престарелых)","die Leitlinien {pl} (Sg.: die Leitlinie)"
"guidelines [politische Leitlinien--policy guidelines [pol.]]","der Rabatt (Pl.: die Rabatte)	"
"discount [comm.] [Rabatt gewähren--give a discount [comm.]; 10 Prozent Rabatt--a 10 per cent discount]]; allowance [comm.] (дотация); deduction [comm.]","der Nachlass (Pl.: die Nachlässe)	"
"discount [im Preis] [Nachlass gewähren--allow a discount [comm.]; mit 10 % Nachlass--at ten percent discount  [comm.]]; estate [of a deceased person] [law] [einen Nachlass verwalten--administer an estate [law]] (имущество); legacy [law] [also fig.]","der Wettstreit (Pl.: die Wettstreite)	"
"competition [um +Akk.--for] [mit jdm in Wettstreit treten--enter into competition with sb]","die Umwelt (Pl.: die Umwelten [selten])"
"environment [die Umwelt schonen--save the environment [ecol.]; Verschmutzung {f} der Umwelt--pollution of the environment [ecol.]]; people around sb. [Menschen] [seine Taubheit schnitt ihn von der Umwelt ab--his deafness cut him off from others]","der Angreifer (Pl.: die Angreifer)	"
"attacker [sie warfen ihre Angreifer zurück--they hurled back their attackers]","der Geländewagen (Pl.: die Geländewagen)"
"all-terrain vehicle [automot.]","das Motorrad (Pl.: die Motorräder)	"
"motorcycle [mit dem Motorrad kommen--come by motorcycle; Motorrad fahren--to motorcycle]","die Taten {pl} (Sg.: die Tat)	"
"actions [edle Taten--noble deeds; seine Taten verantworten--answer for one's actions; Nach seinen Taten will ich ihn beurteilen.--I will judge him by his actions.]","der Schütze [Schießender; Soldat] (Pl.: die Schützen)"
"shooter [sports; mil.] [guter Schütze--good marksman; Maschinengewehr-Schütze--machine-gunner [mil.]]","das Mitgefühl (Pl.: die Mitgefühle)	"
"compassion; sympathy [(mit jdm.) Mitgefühl empfinden--feel (or have) sympathy (for sb.)]","das Attentat (auf) (Pl.: die Attentate)"
"(attempted) assassination (on) [JFK fiel in Dallas einem Attentat / Mordanschlag zum Opfer.--JFK was assassinated in Dallas.; ein Attentat auf jdn. verüben--make an attempt on sb.'s life]","der Vorabend (Pl.: die Vorabende)	"
"evening before [das war am Vorabend--that was the evening before]","der Volksentscheid (über) (Pl.: die Volksentscheide)"
"referendum (on) [pol.] [einen Volksentscheid durchführen--hold a referendum]","der Bürgerkrieg (Pl.: die Bürgerkriege)"
"civil war [in einen Bürgerkrieg versinken--descend into civil war; vom Bürgerkrieg zerrissenes Land {n}--country torn by civil war]","die Werft (Pl.: die Werften)	"
"shipyard [naut.] [auf der Werft--at the wharf; auf der Werft herrschte emsiges Treiben--the shipyard was vibrant with activity]","der Verwalter (Pl.: die Verwalter)	"
"administrator [Verwalter eines Besitzes--administrator of an estate]","die Vorsichtsmaßnahme (Pl.: die Vorsichtsmaßnahmen)"
"precaution [notwendige Vorsichtsmaßnahme--necessary precaution; Wir werden jede Vorsichtsmaßnahme treffen.--Every precaution will be taken.] [z.B. 'Mehr als 300 der rund tausend Häftlinge des Gefängnisses Ravenhall haben in Melbourne gegen das Rauchverbot randaliert, wie die Polizei mitteilte. Als Vorsichtsmaßnahme wurden zunächst rund 200 Mitarbeiter aus der Haftanstalt abgezogen. Laut Gefängnisbehörde entkam niemand aus dem Gebäude.']","der Anleger (Pl.: die Anleger)	"
"investor [fin.] [institutionelle Anleger--institutional investors; Anleger verunsichern--upset investors [fin.]]","der Widerwille (seltener: Widerwillen) (kein Plural)"
"reluctance [etw mit größtem Widerwillen tun--do sth with the greatest reluctance]; aversion [(gegen etw (A)) einen Widerwillen haben--have an aversion (to sth)] (отвращение)","die Anwendung (Pl.: die Anwendungen)	"
"use [außer Anwendung--out of use]; usage; application [utilization, administration] [industrielle Anwendung--industrial application; die Anwendung einer Theorie--application of a theory; nur zur äußerlichen Anwendung--or external application only [med.]]","das Nähere (kein Plural)	"
"particulars [Näheres/das Nähere entnehmen Sie bitte meinem Bericht--you will find further details/the details in my report]","der Schlag (Pl.: die Schläge)	"
"blow [entscheidender Schlag--decisive blow; einem Schlag ausweichen--dodge a blow; einen Schlag austeilen--deal a blow]","der Hersteller (Pl.: die Hersteller)	"
"manufacturer [ind.] [Hersteller von Babynahrung--baby food manufacturer; KFZ-Hersteller--car manufacturer]","die Ausgabe (Pl.: die Ausgaben)	"
"expense [Geldaufwand] [Ich kann mir die Ausgabe nicht leisten.--I can't afford the expense.]; issuance [Emission, Ausstellung etc.]; edition [+von Buch, Zeitung, Sendung; +von Zeitschrift] [gebundene Ausgabe--hardcover edition [publ.; lit.]]","die Veröffentlichung (Pl.: die Veröffentlichungen)"
"publication [aufsehenerregende Veröffentlichung--sensational publication; vor der Veröffentlichung--prior to publication]","das Blatt (Pl.: die Blätter)	"
"sheet [of paper] [Blatt Papier--sheet of paper]; newspaper [Zeitung] [journ.]; blade [of a knife, oar, propeller]; leaf [bot.] [so dünn wie ein Blatt--as thin as a leaf]","die Auszeichnung (Pl.: die Auszeichnungen)"
"award [Preis] [jdn/etw für eine Auszeichnung nominieren--nominate sb/sth for an award]","die Umgebung (Pl.: die Umgebungen)	"
"surroundings [gewohnte Umgebung--familiar surroundings]; environment [raue Umgebung--hostile environment]","der Hügel (Pl.: die Hügel)	"
"hill [einen Hügel besteigen--climb to the top of a hill]","der Ermittler (Pl.: die Ermittler)	"
"investigator [verdeckter Ermittler--undercover investigator]","der Erwerb (Pl.: die Erwerbe)	"
"purchase [Kauf] [comm.] [Erwerb von Grundstücken--purchase of land; acquisition [Erwerb eines Rechts--acquisition of a right] [z.B. 'Bei SPIEGEL ONLINE spricht er von zweistelligen Milliardeninvestitionen in die digitale Infrastruktur und plädiert für ein europaweites Gutscheinsystem für den Erwerb von IT-Kompetenzen für Arbeitslose, Auszubildende und Ältere.']; earnings [Einkommen]","der Luftverkehr (kein Plural)	"
"air traffic [aviat.] [der Luftverkehr ist unter ständiger Kontrolle--air traffic is kept under constant surveillance]","der Großteil (Pl.: die Großteile)	majority"
